대여소_ID,위도,경도,동
ST-729,37.481491,126.981583,사당동
ST-728,37.499855,126.929565,대방동
ST-727,37.488361,126.906227,신대방동
ST-726,37.500076,126.921082,대방동
ST-725,37.486359,126.942925,봉천동
ST-724,37.478428,126.931862,신림동
ST-723,37.484901,126.936531,봉천동
ST-722,37.471989,126.958427,봉천동
ST-721,37.469055,126.958145,봉천동
ST-720,37.479164,126.952583,봉천동
ST-72,37.517765,126.928413,여의도동
ST-719,37.478058,126.960495,봉천동
ST-718,37.486774,126.947815,봉천동
ST-717,37.481705,126.950829,봉천동
ST-716,37.481129,126.909431,신림동
ST-715,37.481339,126.950645,봉천동
ST-714,37.483341,126.943199,봉천동
ST-713,37.475472,126.936455,신림동
ST-712,37.476089,126.981331,남현동
ST-711,37.4818,126.915237,신림동
ST-710,37.485142,126.920563,신림동
ST-71,37.517586,126.929619,여의도동
ST-709,37.477776,126.916756,신림동
ST-708,37.484409,126.928909,신림동
ST-707,37.464886,126.919479,신림동
ST-706,37.489819,126.927727,봉천동
ST-705,37.473728,126.918404,신림동
ST-704,37.480251,126.914604,신림동
ST-703,37.489178,126.919273,신림동
ST-702,37.484085,126.926888,신림동
ST-701,37.500881,126.94175,상도동
ST-700,37.510548,126.944847,노량진동
ST-70,37.520088,126.932365,여의도동
ST-7,37.550007,126.914825,서교동
ST-699,37.513248,126.939972,노량진동
ST-698,37.50634,126.961037,흑석동
ST-697,37.506359,126.969078,흑석동
ST-696,37.503181,126.976089,동작동
ST-695,37.503189,126.97715,동작동
ST-694,37.494663,126.982445,동작동
ST-693,37.507042,126.959152,흑석동
ST-692,37.50938,126.963615,흑석동
ST-691,37.502178,126.948204,상도1동
ST-690,37.504498,126.938988,상도동
ST-69,37.519131,126.933373,여의도동
ST-689,37.492588,126.92524,신대방동
ST-688,37.499645,126.927094,대방동
ST-687,37.505852,126.939362,노량진동
ST-686,37.509369,126.92807,대방동
ST-685,37.512939,126.934242,대방동
