대여소_ID,위도,경도,500m내_대여소가중치,500m내_버스정류소가중치,500m내_지하철역가중치,500m내_사고건수_가중치,500m내_자전거보관소가중치,500m내_교차로가중치,500m내_자전거도로가중치,500m내_관광지_여부,동,500m내_휴게음식점가중치,500m내_고등학교가중치,500m내_대학교가중치,구,총_사용인원,평균_사용인원
ST-997,37.53439,126.869598,1.3804122576723747,7.51061655337513,0.0,4.687262049014697,0.0,7.793552350895923,0.686353158281986,0,112,19.010780531174557,0.0,0.0,양천구,50084.0,179.01004180602004
ST-996,37.524334,126.850548,2.4378069407201477,8.165467462001939,0.4518018718147394,22.602230351304584,0.0,8.877478493353856,0.4762232324416731,0,203,17.767422156660768,0.0,0.0,양천구,4300.0,15.719494685012421
ST-995,37.510597,126.857323,1.9023361818363036,11.770288976098051,0.0,5.68788358185627,0.0,4.419948248199571,2.0277683648143645,0,204,9.19539343242255,0.3800662883659922,0.0,양천구,3672.0,13.155667160515556
ST-994,37.529163,126.872749,3.186822540354465,7.067972534532178,0.1751396230921558,18.952735028053173,0.0,12.449750293801596,1.5096596304525305,0,112,57.69401936252508,0.0,0.0,양천구,29868.0,107.24667735042738
ST-993,37.521511,126.857384,1.1883387377134262,8.504777417599657,0.4646281085704119,15.896747842159334,0.0,6.282443754278778,0.0829360859977343,0,204,32.40216634316664,0.707383444958619,0.0,양천구,16515.0,59.24962653288741
ST-992,37.549061,126.954178,2.934055859854589,9.418821950379304,0.3843867233487634,0.9370711545112832,1.03035162047201,3.4427798679840453,0.0,0,16,46.91194841017439,0.2767271255301947,0.0,마포구,16403.0,61.78010748813807
ST-991,37.584503,126.885597,4.485651828061656,14.488522391183867,0.0,0.0,0.0,7.605688473082585,2.448101906811127,0,156,15.054394304685424,1.523514505036411,0.0,마포구,4750.0,17.80343477245971
ST-99,37.53186,127.067192,2.1684730113173107,5.694592376719351,0.8833043448565763,30.88553135867257,5.358660908265093,7.309342871924944,0.8960268381164007,0,292,28.087201618235586,0.0,0.0,광진구,147134.0,537.1629161701201
ST-988,37.535221,127.068398,3.434748107571199,11.104856827237732,0.881697550043376,39.29618755932836,6.396386918758472,7.576270366354924,0.4781982884641181,0,292,55.92052177289216,0.1869390777485668,0.0,광진구,13085.0,47.775825053361594
ST-987,37.538052,127.076599,3.214800463585308,6.23437086786174,0.0,23.306357211304245,9.59799241647104,5.712664849008873,1.353109211279932,0,292,35.827929772821115,0.151452836690083,0.0,광진구,32459.0,118.00617022189454
