상호명,주소,신주소,경도,위도
정릉,136-851 서울 성북구 정릉동 508 508,"02813 서울 성북구 아리랑로19길 116 (정릉동, 정릉) ",,
젬브로스, 서울 강남구 논현동 15-6 ,06039 서울 강남구 강남대로146길 41 퀸스빌 ,127.023403275764,37.5157618123387
조계사,110-170 서울 종로구 견지동 45,03144 서울특별시 종로구 우정국로 55 (조계사) ,,
종로 은행나무집, 서울 종로구 관철동 33-3 2~3층,"03191 서울 종로구 삼일대로 382 (관철동, 신영빌딩) 2~3층",126.988072810786,37.5686993311209
종로양복점, 서울 중구 저동2가 78 ,04551 서울 중구 수표로 45 (을지비즈센터) 618호 종로양복점,126.989679812578,37.5654537350414
종묘,110-400 서울 종로구 훈정동 1-2 ,"03135 서울 종로구 종로 157 (훈정동, 종묘공원) ",,
종묘돌담길, 서울 종로구 훈정동 1-2 ,03135 서울 종로구 권농동 104-1 ,126.994051548246,37.57470743926
종이나라박물관,100-391 서울 중구 장충동1가 62-35 62-35,"04606 서울 중구 장충단로 166 (장충동1가, 종이나라빌딩) ",,
중랑망우공간, 서울 중랑구 망우동 산 57-1 ,"02178 서울 중랑구 망우로91길 2 (망우동, 중랑 망우공간) ",127.115657194953,37.5955111654958
중앙고등학교, 서울 종로구 계동 1 ,"03051 서울 종로구 창덕궁길 164 (계동, 중앙고등학교) ",126.986866068622,37.5840957563217
중앙상회, 서울 종로구 계동 2-105 ,03051 서울 종로구 창덕궁길 162 (계동) ,126.986953409521,37.5831558497677
지대방,  ,03149 서울 종로구 인사동길 33 2층 ,,
진고개 동대문점, 서울 종로구 창신동 550-1 ,03106 서울 종로구 종로 301-1 (창신동) ,127.011247859738,37.5720915552054
진관사, 서울특별시 은평구 진관동 354,03308 서울특별시 은평구 진관길 73 (진관동) ,126.946629912403,37.638080334124
진아춘 광화문점,110-999 서울 종로구 신문로1가 163 ,"03186 서울 종로구 새문안로 92 (신문로1가, 광화문오피시아) ",,
짚풀생활사박물관,110-522 서울 종로구 명륜2가 8-4 ,03075 서울 종로구 성균관로4길 45 (명륜2가) ,,
창신동 절벽마을, 서울 종로구 창신동 23-322 ,03091 서울 종로구 낙산5길 51 ,127.011374472707,37.5784203995134
창경궁,110-360 서울 종로구 와룡동 2-1 ,"03072 서울 종로구 창경궁로 185 (와룡동, 창경궁) ",,
창경궁 대온실 , 서울 종로구 와룡동 2-1 ,"03072 서울 종로구 창경궁로 185 (와룡동, 창경궁) ",126.995028629331,37.5810625570213
창덕궁,110-360 서울 종로구 와룡동 2-71 ,"03072 서울 종로구 율곡로 99 (와룡동, 창덕궁) ",,
창덕궁 후원 , 서울 종로구 와룡동 2-71 ,"03072 서울 종로구 율곡로 99 (와룡동, 창덕궁) ",126.991322772069,37.5827695454415
청계천박물관,133-814 서울 성동구 마장동 527-4 ,"04704 서울 성동구 청계천로 530 (마장동, 청계천박물관) ",,
청와대,110-820 서울 종로구 세종로 1 ,03048 서울 종로구 청와대로 1 (세종로) ,,
청원산방, 서울 종로구 계동 79-12 79-12,03056 서울 종로구 북촌로6길 27 (계동) ,,
청전이상범 가옥, 서울 종로구 누하동 178 ,03039 서울 종로구 필운대로 31-7 (누하동) ,126.968398565118,37.5788482938018
청진옥 , 서울 종로구 청진동 183-1 ,"03156 서울 종로구 종로3길 32 (청진동, 청진빌딩) 1층",126.979477427822,37.5717392795208
초대길, 서울 강북구 수유동 산 73-23 ,01013 서울 강북구 4.19로 114 (수유동) 근현대사기념관 (출발),127.002937816937,37.6434472803647
초전섬유퀼트박물관,100-041 서울 중구 남산동1가 20 20 제일문화원 1층,04630 서울 중구 퇴계로18길 66 (제일빌딩) ,,
최만린미술관, 서울 성북구 정릉동 716-16 ,02708 서울 성북구 솔샘로7길 23 (정릉동) ,127.004320980874,37.6106757392174
춘당지, 서울 종로구 와룡동 2-1 ,"03072 서울 종로구 창경궁로 185 (와룡동, 창경궁) ",126.995028629331,37.5810625570213
춘원당 한의약박물관,110-320 서울 종로구 낙원동 154 ,03139 서울 종로구 돈화문로9길 27 (춘원당한방박물관) ,,
춘추사,  ,03767 서울 서대문구 이화여대8길 10 ,,
카이스갤러리,135-896 서울 강남구 신사동 638-9 1층,06017 서울 강남구 언주로174길 13 (신사동) 1층,,
코엑스,135-731 서울 강남구 삼성동 159 ,"06164 서울 강남구 영동대로 513 (삼성동, 코엑스) ",,
태극당,  ,04617 서울 중구 동호로24길 7 ,,
"태릉, 강릉",139-804 서울 노원구 공릉동 산 223-19 ,"01794 서울 노원구 화랑로 681 (공릉동, 태강릉) ",,
터방내,  , 서울 동작구 흑석로 101-7 ,,
통문관,  ,03145 서울 종로구 인사동길 55-1 ,,
평택쌀상회,  ,08568 서울 금천구 독산로40길 27-5 ,,
풍납토성, 서울 송파구 풍납동 80-36 ,05512 서울특별시 송파구 한가람로20길 30 (풍납동) ,127.120901586169,37.5386902248684
피겨앤그라운드, 서울 강남구 신사동 543 ,"06036 서울 강남구 논현로153길 53 (신사동, 피겨앤그라운드) ",127.023948870991,37.5201634647826
피규어뮤지엄W,135-954 서울 강남구 청담동 84-9 ,"06014 서울 강남구 선릉로158길 3 (청담동, Ys Roo) ",,
피터팬1978,  ,03698 서울 서대문구 증가로 10 ,,
하늘물빛 (전통 천연 염색 연구소) , 서울 종로구 숭인동 72-35 ,03113 서울 종로구 종로63라길 8 6층 옥상 ,127.01808181459,37.5746221415389
학림다방,  ,03079 서울 종로구 대학로 119 2층 ,,
학사당구장, 서울 동대문구 제기동 137-46 ,02473 서울 동대문구 안암로 154 (제기동) 2층,127.035046873313,37.5883584766786
한강 이랜드크루즈,150-897 서울 영등포구 여의도동 85-1 ,07337 여의도선착장 : 서울 영등포구 여의도동 85-1 / 잠실 선착장 :  서울 송파구 잠실동 1-2 ,,
한강초교앞보도육교, 서울 용산구 한강로3가 , 서울 용산구 한강로3가 ,126.962182447512,37.5276608637794
한국은행화폐박물관,100-794 서울 중구 남대문로3가 110번지 한국은행 건물,"100-794 서울특별시 중구 남대문로 39, 한국은행건물 (남대문로3가) ",,
한상수자수박물관, 서울 성북구 성북동 58-13 11-32번지,02836 서울 성북구 성북로16길 4-10 (성북동) ,,
한성백제박물관,138-829 서울 송파구 방이동 88-20 88-20,"05540 서울 송파구 위례성대로 71 (방이동, 한성백제박물관) ",,
한신옹기, 서울 용산구 용산동2가 5-1612 ,04338 서울 용산구 신흥로 7 (용산동2가) ,126.986511887938,37.5391074195957
한영양복점,  ,04631 서울 중구 퇴계로20길 2 ,,
합덕슈퍼, 서울 용산구 한남동 685-1 ,04400 서울 용산구 이태원로42길 20 (한남동) ,126.999937431642,37.5356967320401
해방촌 골목,140-841 서울 용산구 용산동2가 11-13 ,04339 서울 용산구 신흥로 90 (용산동2가) ,,
해창양복점,100-070 서울 중구 소공동 81 ,04532 서울 중구 남대문로7길 33 (소공동) 소공빌딩 101호,,
허준박물관,157-202 서울 강서구 가양2동 26-5,07525 서울특별시 강서구 허준로 87 (가양동) ,,
"현대카드 뮤직 라이브러리, 현대카드 바이닐앤플라스틱", 서울 용산구 한남동 683-132 ,04400 서울 용산구 이태원로 246 (한남동) ,127.000680566649,37.5366284548113
혜성미용실, 서울 구로구 오류동 11-25 ,08269 서울 구로구 고척로6길 42 (오류동) ,126.841091836141,37.4965827954586
혜화문,110-530 서울 종로구 혜화동 28-5 ,"03076 서울 종로구 창경궁로 307 (혜화동, 혜화문) ",,
호림박물관 (신사분관),135-897 서울 강남구 신사동 651-24 ,"06021 서울 강남구 도산대로 317 (신사동, 호림아트센터 1빌딩) ",,
호미화방,  ,04039 서울 마포구 홍익로3길 20 1층 ,,
홍대R1 레드컬처마켓, 서울 마포구 서교동 348-24 ,04055 서울 마포구 서교동 348-24 ,126.926273606023,37.5564346247377
홍익문고, 서울 서대문구 창천동 18-49 ,03779 서울 서대문구 연세로 2  ,126.937059050425,37.5557663801429
홍지문 탕춘대성, 서울 종로구 홍지동 산 4번지,03021 서울특별시 종로구 세검정로 212 (홍지동) ,126.958433131882,37.5977929887218
화계사,142-875 서울 강북구 수유1동 487 ,"01095 서울 강북구 화계사길 117 (수유동, 화계사) ",,
환구단(원구단), 서울시 중구 소공동 87-1 , 서울시 중구 소공로 106 (소공동) ,126.980099468802,37.5644389782816
황학정,110-054 서울 종로구 사직동 산 1-1 ,03027 서울 종로구 사직로9길 15-32 (사직동) ,,
황해이발관, 서울 강북구 미아동 791-1622 ,01108 서울 강북구 솔매로 35-1 (미아동) ,127.016312365869,37.6255321640365
미림분식,  , 서울 관악구 호암로 553 ,,
DDP 관광안내소,100-197 서울 중구 을지로7가 2-1 ,"04566 서울 중구 을지로 281 (을지로7가, 디자인장터) 지하 2층 종합안내소",,
갤러리 지우헌, 서울 종로구 가회동 31-94 ,03052 서울 종로구 북촌로11라길 13 (가회동) ,126.982944762972,37.5832994975905
광화문광장,110-050 서울 종로구 세종로 1-68,03154 서울특별시 종로구 세종대로 172 ,,
광화문광장 야경, 서울 종로구 세종로 1-68 ,03154 서울 종로구 세종대로 지하 172  ,126.976901845925,37.5724324798007
김용안과자점, 서울 용산구 한강로2가 259-1 ,04376 서울 용산구 한강대로 155-1 (한강로2가) ,126.97125260117,37.5330715008536
김중업 건축문화의집, 서울 성북구 장위동 230-49 ,02755 서울 성북구 장위로21나길 11 (장위동) ,127.04408748702,37.6149827789258
다락, 서울 마포구 도화동 340 ,"04172 서울 마포구 도화2길 8 (도화동, 에어몰 빌딩) ",126.948748551319,37.5400608679434
대각사,110-390 서울 종로구 봉익동 3 ,03134 서울 종로구 율곡로10길 87 (대각사) ,,
대구참기름집,110-800 서울 종로구 계동 79-8 ,03056 서울 종로구 계동길 67 (계동) ,,
등촌 최월선칼국수, 서울 강서구 등촌동 654-95 ,07571 서울 강서구 화곡로64길 68 (등촌동) ,126.856705473189,37.55604047459
라플루마앤보헤미안,  ,02842 서울 성북구 고려대로27길 18 ,,
삼우치킨센타, 서울 영등포구 대림동 960-4 ,07442 서울 영등포구 시흥대로 671 (대림동) ,126.908148793163,37.4916407625594
손맛김밥,  ,03036 서울 종로구 자하문로15길 18 ,,
아트선재센터,110-200 서울 종로구 소격동 144-2 144-2,"03062 서울 종로구 율곡로3길 87 (소격동, 아트선재센타) ",,
안녕인사동 , 서울 종로구 관훈동 155-2 안녕인사동 ,03145 서울 종로구 인사동길 49 (관훈동) 안녕인사동 ,126.983795661777,37.5745525870897
용산공예관, 서울 용산구 한남동 728-10 ,"04399 서울 용산구 이태원로 274 (한남동, 용산공예관) ",127.00205602217,37.5390310463818
자성당약국, 서울 강서구 공항동 18-80 ,07616 서울 강서구 방화대로21길 76 (공항동) ,126.812512232591,37.563984727712
창의문,110-030 서울시 종로구 부암동 277-11 ,03020 서울특별시 종로구 창의문로 118  (부암동) ,,
코끼리분식, 서울 마포구 도화동 345-4 ,04172 서울 마포구 도화2길 3 (도화동) ,126.948802904396,37.5403318221858
헌인릉,137-180 서울 서초구 내곡동 산 13-1 ,06795 서울 서초구 헌인릉길 36-10 (헌인릉) ,,
효성한의원, 서울 동대문구 제기동 1140-55 ,"02569 서울 동대문구 약령중앙로 5 (제기동, 대산빌딩) ",127.036548198586,37.5788351529759
효자베이커리,  ,03036 서울 종로구 필운대로 54 ,,
훼드라,  ,03789 서울 서대문구 연세로5길 32 ,,
휘가로, 서울 관악구 신림동 241-24 ,08814 서울 관악구 신림로11길 20 (신림동) ,126.93871195589,37.4695876537005
흑석동 효사길,156-860 서울 동작구 흑석동 173-191 173-191,"06910 서울 동작구 흑석동 효사 4, 5길 ",,
흥인지문(동대문),110-126 서울 종로구 종로6가 69 ,"03119 서울 종로구 종로 288 (종로6가, 흥인지문) ",,
힐스트링,  ,06711 서울 서초구 반포대로1길 8 성호빌딩 3층  ,,
