상호명,주소,신주소,경도,위도
북악스카이웨이 북악팔각정,110-012 서울시 종로구 평창동 산6-17 ,03010 서울시 종로구 북악산로 267 (평창동) ,,
북촌동양문화박물관,110-230 서울 종로구 삼청동 35-91 ,03052 서울 종로구 북촌로11길 76 ,,
북촌목공예공방,  ,03057 서울 종로구 계동6길 12  ,,
북촌마을관광안내소,110-210 서울 종로구 화동 2 ,"03055 서울 종로구 북촌로5길 48 (화동, 정독도서관) 주요위치 : 재동초등학교 사거리 (정독도서관 부지내, 서울교육박물관 앞)",,
북촌한옥마을,110-801 서울 종로구 계동 105 북촌문화센터 일대 ,03059 서울 종로구 계동길 37 북촌문화센터 일대 (계동),,
불광대장간, 서울 은평구 대조동 80-7 ,03396 서울 은평구 통일로69길 15 (대조동) ,126.927147262183,37.6112094216892
비원떡집, 서울 종로구 가회동 163 ,03055 서울 종로구 북촌로 33-1 (가회동) ,126.984862892329,37.5797852532358
사육신공원,156-801 서울특별시 동작구 노량진1동 155-1 ,"06902 서울 동작구 노량진로 191 (노량진동, 사육신묘지공원) ",,
사직단,110-054 서울 종로구 사직동 1-48 ,03027 서울 종로구 사직로 89 ,,
사하라,  ,04214 서울 마포구 만리재로 15 제일빌딩 지하1층 2호 ,,
살곶이다리（전곶교）,133-070 서울 성동구 행당동 58,  ,,
삼보원,  ,03144 서울 종로구 우정국로 53 (견지동) 삼보원,,
삼성출판박물관,110-804 서울 종로구 구기동 126-4 ,"03007 서울 종로구 비봉길 2-2 (구기동, 삼성출판박물관) ",,
삼세영, 서울 종로구 평창동 437-2 삼세영,03003 서울 종로구 평창44길 2 (평창동) 삼세영,126.978326156394,37.613680157874
삼양탕, 서울 강북구 수유동 461-35 ,"01097 서울 강북구 덕릉로8길 6 (수유동, 삼양여관) ",127.015197312623,37.6336671379237
토탈미술관,110-848 서울 종로구 평창동 465-16 465-16,03004 서울 종로구 평창32길 8 ,,
합덕슈퍼, 서울 용산구 한남동 685-1 ,04400 서울 용산구 이태원로42길 20 (한남동) ,126.999937431642,37.5356967320401
삼청동 골목길, 서울 종로구 가회동 일대, 서울특별시 종로구 가회동 일대 ,,
삼청동 수제비, 서울 종로구 삼청동 99 ,03049 서울 종로구 삼청로 101-1 (삼청동) ,126.981908523675,37.5846110994267
상신당, 서울 강남구 논현동 16-40 ,06038 서울 강남구 강남대로146길 7 (논현동) 금원빌딩 505호,127.020704253418,37.5148577985982
서대문자연사박물관, 서울특별시 서대문구 연희동 산5-58,03718 서울특별시 서대문구 연희로32길 51 (연희동) ,,
서소문성지역사박물관,100-142 서울 중구 의주로2가 16-4 ,04510 서울 중구 칠패로 5 (의주로2가) ,,
서우제과,  ,06680 서울 서초구 방배중앙로 50 ,,
서울 관광기념품 전시관?여행자지원센터,110-748 서울 종로구 관철동 10-2 ,03190 서울 종로구 청계천로 85 (삼일빌딩) 앞 ,,
서울 한양도성,110-126 서울 종로구 종로6가 70-6 ,"03098 서울 종로구 율곡로 283 (종로6가, 서울디자인지원센터) ",,
서울공예박물관 , 서울 종로구 안국동 175-112 ,"03061 서울 종로구 율곡로3길 4 (안국동, 서울공예박물관) ",126.983335536265,37.5769054702552
서울관광플라자 관광정보센터, 서울 종로구 관철동 10-2 ,03190 종로구 청계천로 85 (삼일빌딩 1층) ,126.987170677068,37.5685959824353
서울광장,100-101 서울 중구 태평로1가 31-,100-101 서울특별시 중구 세종대로 110 (태평로1가) ,,
서울기록문화관, 서울 중구 태평로1가 31 서울도서관 3층,"04524 서울 중구 세종대로 110 (태평로1가, 서울특별시청) 서울도서관 3층",126.978203640984,37.566585446882
서울대학교 미술관 MoA,151-015 서울 관악구 신림동 산 56-1 서울대학교 미술관,"08826 서울 관악구 관악로 1 (신림동, 서울대학교) 서울대학교 미술관 (서울대학교 내)",,
서울도서관 (옛 서울시청사), 서울특별시 중구 태평로1가 31,04524 서울특별시 중구 세종대로 110 (태평로1가) ,126.978203640984,37.566585446882
서울도시건축전시관, 서울 중구 태평로1가 60-6 서울도시건축전시관,04519 서울 중구 세종대로 119 (태평로1가) ,126.976707381671,37.5669424961325
서울레코드,  ,03193 서울 종로구 종로 154 ,,
서울로7017, 서울 중구 봉래동2가 122-14 ,"04509 서울 중구 청파로 432 (봉래동2가, 코레일서울본부) ",126.969779468717,37.5584378616081
서울상상나라,143-847 서울 광진구 능동 18 ,04991 서울 광진구 능동로 216 (서울상상나라) ,,
서울생활사박물관, 서울 노원구 공릉동 622 ,01849 서울 노원구 동일로174길 27 (공릉동) 서울생활사박물관,127.076778623724,37.6196120721059
서울스카이, 서울 송파구 신천동 29 ,"05551 서울 송파구 올림픽로 300 (신천동, 롯데월드타워앤드롯데월드몰) 117~123층 ",127.103433202893,37.513101157342
서울스튜디오, 서울 강북구 미아동 777-6 1층 서울스튜디오,01127 서울 강북구 삼양로 246 ,127.018666955966,37.625379277951
하동관 ,100-021 서울 중구 명동1가 10-4 ,04538 서울 중구 명동9길 12 (명동1가) ,,
서울시립과학관, 서울 노원구 하계동 21 ,"01792 서울 노원구 한글비석로 160 (하계동, 서울시립과학관) ",127.077370340001,37.6421145290796
스마트서울 전시관, 서울 중구 태평로1가 31 ,"04524 서울 중구 세종대로 110 (태평로1가, 서울특별시청)  B1",126.978203640984,37.566585446882
스튜디오 콘크리트,140-894 서울 용산구 한남동 795-3 ,04417 서울 용산구 한남대로 162 (한남동) ,,
