대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-268,서울특별시 동대문구 전농로 192,전농삼성아파트,37.58131,127.055344,동대문구,173.0,10.8125
ST-2679,서울특별시 강남구 학동로212,,37.514462,127.0326,강남구,193.0,10.157894736842104
ST-2678,서울특별시 강남구 삼성로 237,,37.498402,127.060936,강남구,955.0,50.26315789473684
ST-2677,서울특별시 강남구 세곡동 548(도담공원~행복공원 사이),,37.467262,127.098015,강남구,276.0,14.526315789473685
ST-2676,서울특별시 강남구 율현동 265-5,,37.471233,127.107216,강남구,238.0,12.526315789473685
ST-2675,서울특별시 강남구 세곡동 97-3,,37.465347,127.108803,강남구,87.0,4.578947368421052
ST-2674,서울특별시 강남구 남부순환로 2641 HILLSTATE GALLALY,,37.485367,127.038498,강남구,406.0,21.36842105263158
ST-2673,서울특별시 강남구 압구정로 130,,37.524227,127.02285,강남구,483.0,25.42105263157895
ST-2672,서울특별시 강남구 삼성동160,,37.513908,127.06073,강남구,,
ST-2671,서울특별시 강남구 봉은사로 502,,37.512962,127.053864,강남구,433.0,22.789473684210527
ST-2670,서울특별시 강남구 영동대로 432-2,,37.508202,127.063965,강남구,,
ST-267,서울특별시 동대문구 이문동186-1,신이문역 2번출구,37.602711,127.067863,동대문구,426.0,26.625
ST-2669,서울특별시 서초구 방배동 981-16,,37.481167,126.997589,서초구,614.0,27.90909090909091
ST-2668,서울특별시 서초구 양재동 310-6,,37.470398,127.042412,서초구,1045.0,47.5
ST-2667,서울특별시 서초구 반포동 118-3,,37.503658,127.005943,서초구,502.0,22.818181818181817
ST-2666,서울특별시 서초구 서초동 1354-3,,37.483891,127.029053,서초구,317.0,14.409090909090908
ST-2665,서울특별시 서초구 염곡동 189-19,,37.459167,127.055443,서초구,,
ST-2664,서울특별시 서초구 반포동15-2,,37.499798,126.996468,서초구,480.0,21.818181818181817
ST-2663,서울특별시 서초구 반포동60-1,,37.503204,127.006531,서초구,321.0,14.590909090909092
ST-2662,서울특별시 서초구 헌릉로 73 서초경찰서 염곡치안센터,,37.462208,127.048676,서초구,104.0,4.7272727272727275
ST-2661,서울특별시 서초구 내곡동 333-6,,37.457664,127.059319,서초구,84.0,4.0
ST-2660,서울특별시 서초구 신반포로15길 29 신반포상가,,37.505245,126.994164,서초구,,
ST-266,서울특별시 동대문구 겸재로 21,휘경공고앞,37.584625,127.07029,동대문구,212.0,13.25
ST-2659,서울특별시 서초구 반포동20-45,,37.507233,127.009453,서초구,551.0,25.045454545454547
ST-2658,서울특별시 서초구 반포동63-6,,37.501507,127.003479,서초구,519.0,23.59090909090909
ST-2657,서울특별시 서초구 서초동 1313-12,,37.498016,127.022224,서초구,295.0,13.409090909090908
ST-2656,서울특별시 서초구 서초동1526-1,,37.483395,127.007362,서초구,228.0,10.363636363636363
ST-2655,서울특별시 서초구 강남대로18길25(삼덕빌딩) 앞,,37.471718,127.038887,서초구,1125.0,51.13636363636363
ST-2654,서울특별시 동작구 보라매로 99,,37.498455,126.927979,동작구,,
ST-2653,서울특별시 동작구 신대방동 702-2,,37.485008,126.903503,동작구,,
ST-2652,서울특별시 동작구 노량진동 329,,37.507858,126.947136,동작구,,
ST-2651,서울특별시 동작구 여의대방로36길71,,37.506805,126.928505,동작구,,
ST-2650,서울특별시 동작구 흑석동143-57,,37.511204,126.961281,동작구,,
ST-265,서울특별시 동대문구 천호대로 26,신설동역9번출구,37.5742,127.026497,동대문구,911.0,56.9375
ST-2649,서울특별시 동작구 상도동25-41(마을버스정류소20803 옆),,37.505432,126.941513,동작구,,
ST-2648,서울특별시 영등포구 영등포구 의사당대로 1,,37.528641,126.915108,영등포구,151.0,6.863636363636363
ST-2647,서울특별시 영등포구 영등포구 의사당대로 1,,37.532146,126.917473,영등포구,169.0,7.3478260869565215
ST-2646,서울특별시 영등포구 영등포구 의사당대로 1,,37.53054,126.918175,영등포구,502.0,22.818181818181817
ST-2645,서울특별시 영등포구 영등포구 의사당대로 1,,37.530502,126.912895,영등포구,394.0,17.130434782608695
ST-2644,서울특별시 영등포구 영등포구 의사당대로 1,,37.529747,126.91317,영등포구,360.0,17.142857142857142
ST-2643,서울특별시 영등포구 영등포구 의사당대로 1,,37.532574,126.914047,영등포구,320.0,13.91304347826087
ST-2642,서울특별시 금천구 독산동1081-4(독산역마을버스정류장 뒤 자전거 거치대 옆),,37.467094,126.889206,금천구,1745.0,87.25
ST-2641,서울특별시 금천구 독산동 1080-1 에이스하드웨어 정문 앞,,37.468658,126.898262,금천구,709.0,35.45
