대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2007,서울특별시 양천구 신정동 1278-2,,37.517593,126.876556,양천구,8670.0,333.46153846153845
ST-2006,서울특별시 양천구 안양천로 812 공중화장실,,37.517338,126.877647,양천구,8006.0,307.9230769230769
ST-2005,서울특별시 양천구 신정동 1145,,37.518543,126.853882,양천구,7566.0,291.0
ST-2004,서울특별시 양천구 신월로 166-1 구두수선대15,,37.517971,126.841537,양천구,,
ST-2003,서울특별시 양천구 신월동 824,,37.529888,126.835007,양천구,2940.0,113.07692307692308
ST-2002,서울특별시 양천구 목동동로 441 공중화장실,,37.538742,126.885681,양천구,1554.0,59.76923076923077
ST-2001,서울특별시 양천구 목동중앙남로3가길 59 세종그랑시아아파트,,37.538376,126.863831,양천구,2588.0,99.53846153846153
ST-2000,서울특별시 양천구 공항대로 552 목동대우마이빌,,37.549507,126.867218,양천구,1914.0,73.61538461538461
ST-200,서울특별시 마포구 아현동 329-15,아현역 4번출구 앞,37.557201,126.955666,마포구,1588.0,63.52
ST-20,서울특별시 마포구 양화로18길 3,192-5,37.55706,126.924423,마포구,5114.0,204.56
ST-2,서울특별시 마포구 동교로8안길 23,457-33,0.0,0.0,마포구,,
ST-1999,서울특별시 양천구 공항대로 630 어바니엘,,37.546707,126.874573,양천구,4962.0,190.84615384615384
ST-1998,서울특별시 양천구 목동 812,,37.528259,126.864265,양천구,,
ST-1997,서울특별시 양천구 목동로 212 목동신시가지아파트7단지,,37.528206,126.870163,양천구,5116.0,196.76923076923077
ST-1996,서울특별시 양천구 목동 927-10,,37.525715,126.864868,양천구,10612.0,408.15384615384613
ST-1995,서울특별시 양천구 목동서로 159-3 가로판매대2,,37.527855,126.874672,양천구,12494.0,480.53846153846155
ST-1994,서울특별시 양천구 목동동로 350 목동신시가지아파트5단지,,37.535667,126.881584,양천구,5150.0,198.07692307692307
ST-1993,서울특별시 양천구 신정로 110 신정숲속마을,,37.505745,126.836311,양천구,1484.0,57.07692307692308
ST-1992,서울특별시 영등포구 문래로 121 서울특별시 남부교육지원청,,37.519333,126.895302,영등포구,2148.0,82.61538461538461
ST-1991,서울특별시 영등포구 신길동 3859,,37.500137,126.913979,영등포구,2816.0,108.3076923076923
ST-1990,서울특별시 영등포구 영등포동 618-9,,37.514847,126.90773,영등포구,7796.0,299.84615384615387
ST-199,서울특별시 중구 청파로 456,종로학원본원 앞,37.55978,126.968506,중구,1154.0,44.38461538461539
ST-1989,서울특별시 영등포구 여의도동 4-2,,37.521664,126.930878,영등포구,,
ST-1988,서울특별시 영등포구 63로 40 라이프오피스텔,,37.519875,126.93882,영등포구,,
ST-1987,서울특별시 영등포구 의사당대로 1 국회,,37.532665,126.913765,영등포구,,
ST-1986,서울특별시 영등포구 당산동 121-317,,37.529743,126.907829,영등포구,3410.0,131.15384615384616
ST-1985,서울특별시 영등포구 도신로29길 28 영등포푸르지오,,37.512024,126.901054,영등포구,4368.0,168.0
